Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Bhutan,2012,0.13,21.9,97,97,68.7
Bhutan,2011,2.99,21.1,95,95,68.3
Bhutan,2010,3.64,21.3,92,91,67.9
Bhutan,2009,2.21,19.5,93,93,67.4
Bhutan,2008,2.73,18.8,96,96,67
Bhutan,2007,2.08,18,93,95,66.5
Bhutan,2006,3.77,17.4,96,95,65.8
Bhutan,2005,9.49,16.7,95,95,65
Bhutan,2004,12.48,16.1,9,89,64.2
Bhutan,2003,6.76,15.5,96,95,63.3
Bhutan,2002,3.77,14.9,89,86,62.5
Bhutan,2001,1.82,14.4,88,88,61.7
Bhutan,2000,2.21,13.9,98,92,62
China,2015,6.7,21,99,99,76.1
China,2014,5.78,23,99,99,75.8
China,2013,5.79,24,99,99,75.6
China,2012,5.74,24,99,99,75.4
China,2011,5.63,22,99,99,75.2
China,2010,5.75,21,99,99,75
China,2009,4.88,18,99,99,74.9
China,2008,4.27,26.5,99,97,74.5
China,2007,3.88,25.7,94,93,74.4
China,2006,3.28,24.9,94,93,74.2
China,2005,2.92,24.1,87,87,73.9
China,2004,3.04,23.4,87,87,73.5
China,2003,2.96,22.6,87,86,73.1
China,2002,2.91,21.9,86,86,72.7
China,2001,2.84,21.2,86,86,72.2
China,2000,3.06,2.5,86,85,71.7
France,2015,11.3,27.2,98,98,82.4
France,2014,11.5,26.7,98,98,82.2
France,2013,11.1,26.3,99,99,82
France,2012,11.5,25.8,99,99,81.5
France,2011,11.8,28.7,99,99,81.7
France,2010,11.7,29.2,99,99,81.3
France,2009,11.8,24.3,98,98,81.1
France,2008,11.9,23.8,98,98,89
France,2007,12.2,23.3,99,98,89
France,2006,12.4,22.7,99,99,86
France,2005,12.2,22.2,98,98,81
France,2004,13.18,21.7,99,98,82
France,2003,13.49,21.1,96,97,79.3
France,2002,13.78,20.5,97,97,79.2
France,2001,13.89,19.9,98,97,79
France,2000,13.63,19.3,98,97,78.8
Germany,2015,14.3,27,94,95,81
Germany,2014,11.03,26.6,94,95,89
Germany,2013,10.94,21.1,94,95,86
Germany,2012,11.18,24.4,94,95,86
Germany,2011,11.2,21.9,94,95,85
Germany,2010,11.2,24.6,94,95,81
Germany,2009,11.22,24.2,95,96,80
Germany,2008,11.36,23.7,95,96,79.9
Germany,2007,11.5,23.2,95,96,79.8
Germany,2006,11.76,22.7,94,96,79.6
Germany,2005,11.67,22.3,95,96,79.2
Germany,2004,11.83,21.8,96,96,79.1
Germany,2003,11.92,21.3,96,97,78.5
Germany,2002,12.25,20.8,97,93,78.4
Germany,2001,12.46,20.3,96,93,78.3
Germany,2000,12.91,19.8,94,9,78
India,2015,5,24.7,86,87,80.3
India,2014,30.7,24.1,84,85,40
India,2013,31.1,23.5,82,83,43.6
India,2012,31,23,79,82,53.3
India,2011,30,22.4,79,82,52.8
India,2010,27.7,21.9,76,79,51.4
India,2009,25,21.4,73,74,66
India,2008,19.3,20.9,69,7,65.5
India,2007,15.9,20.4,67,64,65.2
India,2006,13.7,19.9,66,65,64.8
India,2005,12.7,19.5,65,65,64.4
India,2004,12,19,58,63,64
India,2003,11.9,18.6,57,61,63.7
India,2002,11,18.2,58,59,63.3
India,2001,10,17.8,58,59,62.9
India,2000,9.3,17.4,57,58,62.5
Japan,2015,6.7,29,99,96,83.7
Japan,2014,3,28.6,99,96,83.5
Japan,2013,7.55,28.2,99,96,83.5
Japan,2012,7.39,27.8,99,97,83.3
Japan,2011,7.39,27.4,96,97,82.5
Japan,2010,6.9,26.9,98,97,83
Japan,2009,7.09,26.4,99,97,83
Japan,2008,7.11,25.9,98,98,82.7
Japan,2007,7.29,25.4,97,98,82.6
Japan,2006,7.49,24.9,95,98,82.4
Japan,2005,7.99,24.4,95,98,82
Japan,2004,7.7,23.8,97,99,82.1
Japan,2003,7.83,23.4,97,97,81.9
Japan,2002,7.87,22.9,89,96,81.8
Japan,2001,8.03,22.5,81,95,81.5
Japan,2000,7.97,22.2,98,85,81.1
Nepal,2015,2,19.1,9,91,69.2
Nepal,2014,0.01,18.5,92,92,69.6
Nepal,2013,0.27,18,92,92,69.3
Nepal,2012,0.26,17.4,9,9,68.9
Nepal,2011,0.27,16.9,92,92,68.4
Nepal,2010,0.24,16.4,83,82,68
Nepal,2009,0.22,15.9,93,89,67.5
Nepal,2008,0.21,15.4,82,82,67
Nepal,2007,0.2,14.9,82,82,66.6
Nepal,2006,0.2,14.4,91,89,66
Nepal,2005,0.2,13.9,78,75,65.4
Nepal,2004,0.21,13.4,8,8,64.7
Nepal,2003,0.2,12.9,76,78,64.3
Nepal,2002,0.19,12.4,72,72,63.1
Nepal,2001,0.09,11.9,73,72,63.2
Nepal,2000,0.08,11.4,74,74,62.5
New Zealand,2015,8.7,22.5,92,92,81.6
New Zealand,2014,9.07,22.3,93,93,81.5
New Zealand,2013,9.18,22.13333333,92,92,81.3
New Zealand,2012,9.2,21.96666667,93,93,81.1
New Zealand,2011,9.47,21.76666667,95,95,86
New Zealand,2010,9.62,21.6,93,93,89
New Zealand,2009,9.24,21.43333333,92,92,85
New Zealand,2008,9.49,21.26666667,89,89,81
New Zealand,2007,9.19,21.06666667,88,88,81
New Zealand,2006,9.34,20.86666667,89,89,79.9
New Zealand,2005,9.31,20.7,89,89,79.9
New Zealand,2004,9.15,20.5,87,89,79.2
New Zealand,2003,8.91,27,86,9,79.1
New Zealand,2002,9.13,17,84,9,78.7
New Zealand,2001,8.75,19.86666667,82,9,78.5
New Zealand,2000,8.91,19.63333333,82,9,78.6
Pakistan,2015,13,25.4,72,72,66.4
Pakistan,2014,7.2,24.7,72,72,66.2
Pakistan,2013,9.76,23.9,72,72,66
Pakistan,2012,9.76,23.2,72,72,65.7
Pakistan,2011,9.76,22.5,75,74,65.5
Pakistan,2010,9.76,21.9,82,82,65.1
Pakistan,2009,8.32,21.3,7,71,64.8
Pakistan,2008,8.32,2.6,7,62,64.6
Pakistan,2007,8.32,2.1,75,75,64.4
Pakistan,2006,8.32,19.5,77,78,64.2
Pakistan,2005,9.76,18.9,78,77,62.9
Pakistan,2004,11.2,18.4,65,65,63.7
Pakistan,2003,11.2,17.9,69,67,63.5
Pakistan,2002,7.2,17.4,71,68,63.2
Pakistan,2001,7.2,16.9,68,65,63
Pakistan,2000,14.4,16.4,65,62,62.8
Qatar,2015,8.78,19.8,99,99,78.2
Qatar,2014,1.15,19.54285714,99,89,78.1
Qatar,2013,4.8,19.34285714,99,97,77.9
Qatar,2012,4.52,19.14285714,93,92,77.8
Qatar,2011,4.64,19,92,93,77.5
Qatar,2010,4.64,18.85714286,98,97,77.3
Qatar,2009,4.44,18.74285714,98,99,77
Qatar,2008,5.48,18.62857143,98,97,76.8
Qatar,2007,4.96,18.6,97,94,76.7
Qatar,2006,5.12,18.57142857,95,96,76.6
Qatar,2005,4.72,18.6,98,97,76.6
Qatar,2004,4.44,18.57142857,95,96,76.6
Qatar,2003,4,18.48571429,93,92,76.5
Qatar,2002,3.48,18.31428571,96,96,76.4
Qatar,2001,3.04,18.08571429,93,93,76.3
Qatar,2000,2,17.82857143,91,8,76.2
Republic of Korea,2015,7.3,24.7,98,98,82.3
Republic of Korea,2014,6.7,24.2,99,99,82
Republic of Korea,2013,9.33,-3.2,99,99,81.7
Republic of Korea,2012,9.56,-3.6,99,99,81.2
Republic of Korea,2011,9.34,-4,98,99,81.1
Republic of Korea,2010,9.23,22.5,95,94,87
Republic of Korea,2009,8.97,22.1,95,94,86
Republic of Korea,2008,9.31,21.6,92,94,83
Republic of Korea,2007,9.05,21.2,91,91,79.8
Republic of Korea,2006,8.83,20.7,98,98,79.4
Republic of Korea,2005,9.03,20.2,96,96,78.7
Republic of Korea,2004,9.18,19.7,9,88,78.2
Republic of Korea,2003,9.66,19.2,94,97,77.6
Republic of Korea,2002,9.55,18.7,99,97,77.1
Republic of Korea,2001,11.45,18.2,99,97,76.7
Republic of Korea,2000,10.33,17.7,99,97,76
Russian Federation,2015,9.7,21,97,97,75
Russian Federation,2014,10.12,19.96666667,97,97,73
Russian Federation,2013,10.58,19.76666667,98,97,70
Russian Federation,2012,10.99,19.56666667,98,97,69.6
Russian Federation,2011,11.04,19.36666667,97,97,69.4
Russian Federation,2010,11.05,19.16666667,98,97,68.4
Russian Federation,2009,11.21,19,98,98,68.2
Russian Federation,2008,12.04,18.86666667,98,98,67.5
Russian Federation,2007,12.19,18.7,98,98,67.3
Russian Federation,2006,11.79,18.56666667,98,98,66.4
Russian Federation,2005,11.57,18.43333333,98,98,65
Russian Federation,2004,11.5,18.33333333,98,97,64.9
Russian Federation,2003,11.32,18.23333333,97,96,64.6
Russian Federation,2002,10.87,18.16666667,97,97,64.8
Russian Federation,2001,10.47,18.06666667,97,96,65.1
Russian Federation,2000,10.18,18,97,96,65
Saudi Arabia,2015,1.3,22.73333333,97,98,74.5
Saudi Arabia,2014,10.8,22.43333333,98,98,74.4
Saudi Arabia,2013,10.8,22.13333333,98,98,74.3
Saudi Arabia,2012,10.8,21.86666667,98,98,74.1
Saudi Arabia,2011,10.8,21.56666667,98,98,73.9
Saudi Arabia,2010,10.8,21.3,98,98,73.7
Saudi Arabia,2009,10.8,21.03333333,98,98,73.4
Saudi Arabia,2008,10.8,20.8,98,98,73.3
Saudi Arabia,2007,12,20.53333333,96,96,73.2
Saudi Arabia,2006,9.6,21.3,96,96,73.2
Saudi Arabia,2005,6,2.066666667,96,96,73.1
Saudi Arabia,2004,7.2,19.8,96,96,73.1
Saudi Arabia,2003,6,19.5,95,95,73
Saudi Arabia,2002,6,19.23333333,95,95,72.9
Saudi Arabia,2001,6,18.96666667,97,97,72.8
Saudi Arabia,2000,6,18.73333333,95,95,72.6
South Africa,2015,7.2,17.03333333,75,75,62.9
South Africa,2014,7.38,1.766666667,77,77,62
South Africa,2013,7.34,16.5,73,73,69
South Africa,2012,7.38,16.23333333,65,65,59.2
South Africa,2011,7.38,15.96666667,69,69,58.9
South Africa,2010,7.28,15.73333333,72,72,58
South Africa,2009,7.6,15.46666667,75,76,56.5
South Africa,2008,8.19,15.23333333,77,79,55.3
South Africa,2007,8.48,15,79,82,54.5
South Africa,2006,8.5,14.76666667,79,82,54
South Africa,2005,8.69,14.53333333,75,79,53.8
South Africa,2004,6.96,14.3,73,74,53.7
South Africa,2003,6.93,14.06666667,7,69,54
South Africa,2002,7.04,13.86666667,7,7,54.9
South Africa,2001,7.38,17.9,71,71,56
South Africa,2000,7.3,24.1,71,73,57.3
Sri Lanka,2015,7.7,23.4,99,99,74.9
Sri Lanka,2014,2.37,22.7,99,99,74.7
Sri Lanka,2013,2.56,21.9,99,99,74.6
Sri Lanka,2012,2.8,21.2,99,99,74.5
Sri Lanka,2011,3.03,18.5,99,99,74.5
Sri Lanka,2010,2.31,19.8,99,99,74.5
Sri Lanka,2009,2.05,19.2,97,97,71.8
Sri Lanka,2008,2.1,18.5,98,98,72.3
Sri Lanka,2007,2.29,17.9,98,98,73.7
Sri Lanka,2006,1.96,17.2,98,98,73.8
Sri Lanka,2005,1.97,16.6,99,99,74.2
Sri Lanka,2004,1.56,16.1,97,97,69.1
Sri Lanka,2003,1.69,15.6,98,99,73.9
Sri Lanka,2002,1.62,15.1,98,98,73.7
Sri Lanka,2001,1.68,14.6,98,98,72.7
Sri Lanka,2000,1.45,14.1,99,99,71.5
United Arab Emirates,2015,23,21.4,99,99,54.1
United Arab Emirates,2014,19.1,20.8,99,99,76.9
United Arab Emirates,2013,18.2,21.16666667,98,98,76.7
United Arab Emirates,2012,17.5,19.53333333,96,96,76.5
United Arab Emirates,2011,17.3,19.03333333,95,95,76.3
United Arab Emirates,2010,16.9,18.6,94,94,76.2
United Arab Emirates,2009,17.3,18.36666667,94,93,76
United Arab Emirates,2008,18.6,18.26666667,94,92,75.8
United Arab Emirates,2007,16.9,18.36666667,94,92,75.6
United Arab Emirates,2006,17.4,18.6,94,92,75.4
United Arab Emirates,2005,17.9,18.86666667,94,94,75.3
United Arab Emirates,2004,17.7,19,94,94,75.1
United Arab Emirates,2003,17.4,18.93333333,94,94,74.9
United Arab Emirates,2002,17.2,18.66666667,94,94,74.7
United Arab Emirates,2001,16.7,18.33333333,94,94,74.5
United Arab Emirates,2000,16.4,18.03333333,94,94,74.2
United Kingdom of Great Britain and Northern Ireland,2015,10.66,22.2,96,96,81.2
United Kingdom of Great Britain and Northern Ireland,2014,10.37,22,95,95,81
United Kingdom of Great Britain and Northern Ireland,2013,10.32,21.8,95,95,87
United Kingdom of Great Britain and Northern Ireland,2012,10.42,21.6,95,95,86
United Kingdom of Great Britain and Northern Ireland,2011,10.68,21.4,95,95,86
United Kingdom of Great Britain and Northern Ireland,2010,10.88,21.2,94,94,82
United Kingdom of Great Britain and Northern Ireland,2009,10.79,21.03333333,93,93,81
United Kingdom of Great Britain and Northern Ireland,2008,11.47,20.83333333,92,92,79.6
United Kingdom of Great Britain and Northern Ireland,2007,11.84,20.63333333,92,92,79.5
United Kingdom of Great Britain and Northern Ireland,2006,11.61,20.43333333,92,92,79.3
United Kingdom of Great Britain and Northern Ireland,2005,12.05,21.23333333,91,91,79
United Kingdom of Great Britain and Northern Ireland,2004,12.22,22.03333333,92,92,78.8
United Kingdom of Great Britain and Northern Ireland,2003,11.85,19.83333333,91,91,78.3
United Kingdom of Great Britain and Northern Ireland,2002,11.44,19.6,91,91,78.2
United Kingdom of Great Britain and Northern Ireland,2001,10.91,19.4,91,91,78
United Kingdom of Great Britain and Northern Ireland,2000,10.59,19.16666667,91,91,77.8
United States of America,2015,7.6,23.2,93,95,79.3
United States of America,2014,8.82,23.03333333,93,95,79.1
United States of America,2013,8.82,22.86666667,93,94,78.9
United States of America,2012,8.82,22.66666667,93,94,78.8
United States of America,2011,8.67,22.5,94,96,78.7
United States of America,2010,8.55,22.3,93,95,78.7
United States of America,2009,8.71,22.1,93,95,78.5
United States of America,2008,8.74,21.9,94,96,78.2
United States of America,2007,8.74,21.7,93,96,78.1
United States of America,2006,8.63,21.46666667,93,96,77.8
United States of America,2005,8.52,21.26666667,92,96,77.5
United States of America,2004,8.48,21.03333333,92,96,77.5
United States of America,2003,8.4,20.8,91,96,77.2
United States of America,2002,8.33,20.56666667,9,94,77
United States of America,2001,8.25,26.9,89,94,76.9
United States of America,2000,8.21,26.1,9,94,76.8
Zimbabwe,2015,3.2,31.8,88,87,67
Zimbabwe,2014,6.5,31.3,92,91,59.2
Zimbabwe,2013,6.39,35.8,95,95,58
Zimbabwe,2012,6.09,33.3,95,95,56.6
Zimbabwe,2011,6,29.9,93,93,54.9
Zimbabwe,2010,5.21,29.4,89,89,52.4
Zimbabwe,2009,4.64,29,69,73,50
Zimbabwe,2008,3.56,28.6,75,75,48.2
Zimbabwe,2007,3.88,28.2,73,73,46.6
Zimbabwe,2006,4.57,27.9,71,7,45.4
Zimbabwe,2005,4.14,27.5,69,68,44.6
Zimbabwe,2004,4.36,27.1,67,65,44.3
Zimbabwe,2003,4.06,26.7,7,68,44.5
Zimbabwe,2002,4.43,26.3,73,71,44.8
Zimbabwe,2001,1.72,25.9,76,75,45.3
Zimbabwe,2000,1.68,25.5,78,78,46
